id_venda,curso,valor,idade,cidade,forma_pagamento,avaliacao,status,data_venda
1,Python,216.96,55,Vitória da Conquista,Cartão,3,Concluído,2025-03-21
2,Python,135.85,38,Lauro de Freitas,Cartão,5,Em andamento,2025-06-04
3,Java,541.4,54,Lauro de Freitas,PIX,1,Em andamento,2025-06-12
4,Python,572.76,29,Lauro de Freitas,Cartão,5,Concluído,2025-10-06
5,SQL,583.23,23,Vitória da Conquista,Cartão,2,Em andamento,2025-06-19
6,Python,424.62,31,Lauro de Freitas,Boleto,4,Cancelado,2025-11-29
7,Python,107.82,60,Vitória da Conquista,PIX,2,Cancelado,2025-11-11
8,Python,926.65,33,Salvador,Boleto,3,Concluído,2025-02-28
9,Python,447.19,52,Vitória da Conquista,Cartão,5,Em andamento,2025-07-11
10,Python,562.78,50,Camaçari,PIX,1,Concluído,2025-11-30
11,Power BI,273.16,50,Salvador,Cartão,2,Cancelado,2025-10-03
12,Python,579.79,58,Salvador,Cartão,2,Em andamento,2025-08-06
13,Python,852.0,31,Lauro de Freitas,Boleto,4,Concluído,2025-02-06
14,Python,772.1,27,Salvador,PIX,3,Concluído,2025-02-07
15,Power BI,148.74,34,Lauro de Freitas,Cartão,5,Em andamento,2025-05-13
16,Power BI,466.77,46,Camaçari,PIX,3,Concluído,2025-12-11
17,Python,206.38,18,Lauro de Freitas,Cartão,5,Concluído,2025-02-07
18,Excel,421.83,50,Salvador,PIX,3,Concluído,2025-05-25
19,Python,788.65,46,Camaçari,PIX,1,Concluído,2025-10-01
20,Java,297.78,65,Camaçari,Boleto,3,Cancelado,2025-03-15
21,Python,368.15,64,Vitória da Conquista,Cartão,5,Em andamento,2025-03-14
22,Java,210.81,18,Lauro de Freitas,Boleto,4,Concluído,2025-02-13
23,Python,374.12,65,Vitória da Conquista,Cartão,4,Cancelado,2025-09-20
24,Excel,228.11,29,Feira de Santana,Boleto,3,Concluído,2025-04-03
25,SQL,703.78,54,Salvador,Boleto,4,Concluído,2025-02-07
26,Python,361.49,22,Vitória da Conquista,Cartão,2,Em andamento,2025-09-07
27,SQL,956.29,40,Feira de Santana,Boleto,2,Concluído,2025-11-14
28,Excel,162.73,30,Vitória da Conquista,PIX,4,Concluído,2025-12-04
29,Python,375.01,55,Feira de Santana,Boleto,5,Concluído,2025-06-11
30,Python,962.69,28,Salvador,PIX,2,Em andamento,2025-12-31
31,Python,765.73,45,Vitória da Conquista,PIX,2,Em andamento,2025-06-19
32,SQL,890.0,47,Camaçari,PIX,3,Concluído,2025-02-25
33,Python,258.09,56,Salvador,PIX,2,Em andamento,2025-04-11
34,Python,336.81,58,Salvador,Boleto,1,Em andamento,2025-09-17
35,Power BI,668.36,55,Lauro de Freitas,PIX,5,Concluído,2025-01-19
36,Excel,596.33,52,Lauro de Freitas,PIX,2,Concluído,2025-04-25
37,Python,902.19,55,Vitória da Conquista,Cartão,4,Concluído,2025-02-16
38,Python,457.01,50,Salvador,Boleto,2,Em andamento,2025-11-11
