id_conteudo,titulo,tipo,genero,ano_lancamento,duracao_minutos,temporadas,quantidade_episodios,classificacao_indicativa,idioma_original,pais_producao,plataforma,avaliacao_publico,quantidade_avaliacoes,orcamento_milhoes,premios_recebidos
1,O Último Horizonte 1,Filme,Suspense,1998,161,1,1,14 anos,Japonês,Japão,Vision,2.2,273694,51.85,10
2,O Reino Perdido 2,Série,Terror,2007,39,6,44,16 anos,Inglês,Coreia do Sul,MegaStream,3.5,187769,129.09,5
3,Além do Tempo 3,Série,Suspense,1995,57,7,16,10 anos,Francês,Coreia do Sul,Cinema+,4.6,100674,29.32,19
4,Além do Tempo 4,Filme,Ação,2020,155,1,1,12 anos,Português,França,StreamFlix,2.2,492285,78.45,23
5,Aventura no Espaço 5,Série,Suspense,1997,28,6,74,12 anos,Inglês,Inglaterra,Vision,4.5,206110,238.75,3
6,Aventura no Espaço 6,Filme,Romance,2021,147,1,1,Livre,Japonês,França,Vision,2.6,435130,7.03,16
7,Mistérios da Cidade 7,Série,Romance,2016,28,1,69,18 anos,Francês,Japão,StreamFlix,2.1,98553,55.43,19
8,Operação Final 8,Série,Romance,2002,27,3,108,18 anos,Português,Brasil,MegaStream,3.9,305641,7.33,22
9,Mistérios da Cidade 9,Filme,Comédia,2015,175,1,1,16 anos,Espanhol,Brasil,PlayTV,4.5,231864,145.56,11
10,Amor em Paris 10,Filme,Terror,2010,131,1,1,Livre,Espanhol,França,MegaStream,3.0,72613,182.76,16
11,Mistérios da Cidade 11,Série,Fantasia,2007,40,2,109,10 anos,Francês,Brasil,MegaStream,1.4,469258,218.17,5
12,O Reino Perdido 12,Série,Romance,1992,35,2,46,18 anos,Espanhol,Brasil,MegaStream,1.2,457804,226.06,6
13,Risos de Família 13,Série,Comédia,2020,33,8,81,18 anos,Espanhol,Coreia do Sul,MegaStream,2.8,261996,196.71,25
14,Amor em Paris 14,Filme,Ação,2015,126,1,1,14 anos,Espanhol,Coreia do Sul,PlayTV,1.0,234053,148.07,0
15,O Reino Perdido 15,Filme,Drama,2019,173,1,1,18 anos,Japonês,Inglaterra,Vision,1.4,228464,97.63,14
16,O Último Horizonte 16,Filme,Ação,2024,142,1,1,Livre,Inglês,Inglaterra,Cinema+,4.3,53360,236.13,1
17,Mistérios da Cidade 17,Série,Comédia,2024,48,3,55,Livre,Português,EUA,MegaStream,3.7,367539,196.22,13
18,Operação Final 18,Série,Ficção Científica,2015,50,3,100,12 anos,Inglês,Brasil,Cinema+,1.2,181813,115.38,17
19,O Investigador 19,Filme,Suspense,2007,89,1,1,Livre,Francês,EUA,Vision,4.8,24879,165.53,5
20,Mistérios da Cidade 20,Série,Romance,1991,30,7,110,Livre,Francês,EUA,Vision,4.7,80225,243.61,23
21,Operação Final 21,Série,Ação,2026,20,2,48,18 anos,Francês,Japão,MegaStream,2.5,379035,145.64,13
22,Mistérios da Cidade 22,Série,Ação,2015,59,1,29,18 anos,Português,EUA,Cinema+,3.0,456119,7.12,25
23,Mistérios da Cidade 23,Série,Terror,1990,40,8,62,16 anos,Japonês,França,MegaStream,3.5,177376,4.78,6
24,Código Sombrio 24,Série,Drama,2008,52,7,8,16 anos,Inglês,Japão,MegaStream,2.4,61757,153.53,15
25,O Reino Perdido 25,Filme,Ação,2015,110,1,1,14 anos,Francês,Japão,Cinema+,2.9,471126,118.96,25
26,O Último Horizonte 26,Filme,Suspense,1996,128,1,1,16 anos,Japonês,Inglaterra,Vision,2.2,132648,191.98,1
27,Aventura no Espaço 27,Série,Terror,2026,38,6,113,18 anos,Espanhol,EUA,Cinema+,2.8,334666,202.63,3
28,Amor em Paris 28,Série,Ficção Científica,1995,57,1,31,12 anos,Francês,França,Vision,3.7,73113,207.97,3
29,Mistérios da Cidade 29,Filme,Ficção Científica,2018,160,1,1,10 anos,Japonês,Brasil,StreamFlix,4.5,281151,193.79,20
30,Mistérios da Cidade 30,Série,Ficção Científica,1990,36,8,76,Livre,Francês,Japão,StreamFlix,2.4,213284,89.97,0
31,Além do Tempo 31,Filme,Terror,1998,175,1,1,12 anos,Japonês,Coreia do Sul,StreamFlix,2.6,403344,237.62,18
32,Mistérios da Cidade 32,Série,Suspense,1992,54,5,8,16 anos,Japonês,Coreia do Sul,MegaStream,2.1,352536,213.23,16
33,Além do Tempo 33,Série,Ficção Científica,2015,47,5,94,Livre,Espanhol,Japão,StreamFlix,3.2,11730,171.06,9
34,Risos de Família 34,Série,Terror,1997,57,8,103,10 anos,Português,Brasil,PlayTV,2.3,183195,115.7,14
35,Mistérios da Cidade 35,Filme,Romance,2011,152,1,1,10 anos,Japonês,Japão,MegaStream,3.3,213804,23.36,9
36,Mistérios da Cidade 36,Filme,Ficção Científica,1991,90,1,1,14 anos,Inglês,Brasil,StreamFlix,3.7,137252,178.63,2
37,Mistérios da Cidade 37,Série,Suspense,2023,29,8,49,Livre,Inglês,França,Vision,4.8,220784,115.08,0
38,O Reino Perdido 38,Filme,Ação,2002,159,1,1,10 anos,Francês,Brasil,PlayTV,4.7,9696,159.96,9
39,Código Sombrio 39,Série,Ficção Científica,2011,35,7,69,12 anos,Japonês,Inglaterra,Vision,1.4,108462,244.37,24
40,Além do Tempo 40,Série,Suspense,2009,53,5,109,14 anos,Português,Coreia do Sul,Cinema+,3.5,12939,11.98,12
41,O Investigador 41,Filme,Ação,1992,139,1,1,10 anos,Português,Coreia do Sul,MegaStream,3.9,133429,199.08,8
42,Amor em Paris 42,Filme,Drama,2018,111,1,1,18 anos,Espanhol,EUA,PlayTV,5.0,456385,190.58,6
43,O Reino Perdido 43,Série,Ficção Científica,2005,54,2,53,16 anos,Espanhol,Inglaterra,StreamFlix,1.7,120904,235.32,4
44,Amor em Paris 44,Série,Drama,2026,28,1,90,12 anos,Japonês,Coreia do Sul,Vision,4.5,404014,78.39,12
