id_pedido,data_pedido,categoria,produto,preco_unitario,quantidade,desconto,valor_total,cidade,forma_pagamento,status_pedido,avaliacao_cliente
1,2025-01-20,Informática,Teclado,743.13,1,0.12,653.95,Fortaleza,Boleto,Entregue,1
2,2025-03-25,Smartphones,iPhone,2730.87,2,0.1,4915.57,Salvador,Cartão de Débito,Em Transporte,5
3,2025-01-23,Casa,Liquidificador,102.43,1,0.22,79.9,São Paulo,Cartão de Crédito,Entregue,1
4,2025-06-06,Games,Controle,4608.59,1,0.08,4239.9,Recife,Cartão de Débito,Entregue,5
5,2025-11-27,Escritório,Notebook Stand,6484.24,4,0.09,23602.63,Fortaleza,Cartão de Débito,Entregue,4
6,2025-02-12,Games,Headset,303.14,2,0.23,466.84,Porto Alegre,Boleto,Entregue,3
7,2025-10-21,Escritório,Webcam,7077.14,4,0.22,22080.68,Recife,PIX,Entregue,1
8,2025-09-30,Games,PS5,7174.39,4,0.3,20088.29,Salvador,Boleto,Devolvido,2
9,2025-08-16,Escritório,Webcam,7846.36,5,0.05,37270.21,Fortaleza,Cartão de Débito,Entregue,2
10,2025-08-11,Casa,Ventilador,217.02,3,0.24,494.81,Fortaleza,PIX,Entregue,1
11,2025-10-02,Escritório,Mesa,5671.07,1,0.02,5557.65,Fortaleza,PIX,Entregue,4
12,2025-06-21,Informática,Teclado,2137.19,5,0.14,9189.92,Fortaleza,Boleto,Entregue,2
13,2025-12-09,Casa,Liquidificador,5755.86,3,0.2,13814.06,Belo Horizonte,PIX,Em Transporte,1
14,2025-07-19,Escritório,Webcam,4323.41,3,0.04,12451.42,Recife,Cartão de Crédito,Entregue,3
15,2025-08-10,Escritório,Impressora,5055.46,4,0.24,15368.6,Salvador,Cartão de Crédito,Entregue,1
16,2025-06-05,Games,Controle,6975.06,4,0.22,21762.19,Fortaleza,PIX,Entregue,3
17,2025-10-07,Escritório,Notebook Stand,4474.8,1,0.1,4027.32,Recife,Cartão de Crédito,Em Transporte,3
18,2025-05-16,Informática,Teclado,7442.04,3,0.07,20763.29,Fortaleza,PIX,Cancelado,1
19,2025-04-10,Smartphones,Poco,1636.02,1,0.3,1145.21,Curitiba,Cartão de Crédito,Entregue,3
20,2025-03-11,Informática,Teclado,4458.55,5,0.04,21401.04,Porto Alegre,Cartão de Débito,Entregue,1
21,2025-09-14,Games,Headset,6943.86,2,0.1,12498.95,Rio de Janeiro,PIX,Em Transporte,5
22,2025-07-04,Escritório,Webcam,2779.99,1,0.18,2279.59,Porto Alegre,Boleto,Cancelado,4
23,2025-04-03,Games,Nintendo Switch,1771.92,2,0.13,3083.14,Fortaleza,PIX,Em Transporte,4
24,2025-07-12,Escritório,Mesa,6643.39,5,0.05,31556.1,Recife,PIX,Cancelado,1
25,2025-01-27,Games,Headset,6567.43,4,0.1,23642.75,Fortaleza,Boleto,Entregue,5
26,2025-10-16,Games,Xbox Series,5192.34,4,0.08,19107.81,Recife,Cartão de Crédito,Cancelado,4
27,2025-04-04,Escritório,Notebook Stand,7248.43,1,0.08,6668.56,São Paulo,PIX,Entregue,4
28,2025-03-14,Smartphones,Redmi,4304.09,5,0.14,18507.59,Recife,Boleto,Em Transporte,2
29,2025-05-28,Escritório,Impressora,3734.08,5,0.27,13629.39,Salvador,Boleto,Entregue,2
30,2025-08-06,Informática,Teclado,2316.48,3,0.3,4864.61,Salvador,PIX,Entregue,2
31,2025-04-10,Smartphones,Galaxy,2192.13,5,0.05,10412.62,Curitiba,Cartão de Débito,Em Transporte,4
32,2025-10-07,Smartphones,Moto G,4246.09,5,0.03,20593.54,Curitiba,Cartão de Crédito,Entregue,1
33,2025-10-19,Casa,Air Fryer,6392.26,1,0.13,5561.27,Fortaleza,Cartão de Débito,Entregue,2
34,2025-01-20,Casa,Ventilador,1595.96,2,0.06,3000.4,Belo Horizonte,Cartão de Crédito,Entregue,1
35,2025-05-07,Informática,Monitor,5266.9,1,0.16,4424.2,Fortaleza,Boleto,Cancelado,3
36,2025-09-21,Informática,Teclado,5384.05,2,0.25,8076.08,Salvador,Boleto,Em Transporte,4
37,2025-07-20,Smartphones,Redmi,1815.3,4,0.2,5808.96,Belo Horizonte,Cartão de Débito,Entregue,4
38,2025-03-06,Informática,Teclado,1156.82,1,0.22,902.32,São Paulo,Cartão de Débito,Cancelado,3
39,2025-07-05,Escritório,Notebook Stand,188.51,3,0.16,475.05,Belo Horizonte,Cartão de Débito,Cancelado,1
40,2025-12-09,Escritório,Impressora,4762.94,1,0.1,4286.65,Belo Horizonte,Cartão de Débito,Entregue,2
41,2025-06-19,Casa,Ventilador,6818.29,1,0.0,6818.29,Salvador,PIX,Entregue,4
42,2025-02-28,Casa,Ventilador,5307.38,2,0.02,10402.46,Porto Alegre,PIX,Entregue,1
43,2025-05-01,Games,Controle,7650.81,2,0.25,11476.22,Fortaleza,Boleto,Entregue,1
44,2025-02-01,Informática,Teclado,2652.69,2,0.12,4668.73,Salvador,PIX,Entregue,2
45,2025-11-25,Games,Xbox Series,1044.66,5,0.24,3969.71,Curitiba,Cartão de Débito,Devolvido,5
46,2025-11-05,Games,Nintendo Switch,5027.4,1,0.25,3770.55,Curitiba,Boleto,Entregue,1
47,2025-07-13,Games,Headset,6082.87,1,0.19,4927.12,Rio de Janeiro,Boleto,Entregue,1
48,2025-04-09,Escritório,Notebook Stand,1629.87,1,0.19,1320.19,Belo Horizonte,Boleto,Entregue,4
49,2025-05-14,Games,Headset,7865.63,1,0.05,7472.35,Salvador,Cartão de Crédito,Em Transporte,3
50,2025-05-19,Smartphones,Galaxy,1134.24,1,0.21,896.05,São Paulo,PIX,Entregue,3
51,2025-09-23,Games,Xbox Series,2053.97,3,0.03,5977.05,São Paulo,PIX,Devolvido,3
52,2025-02-27,Games,Nintendo Switch,3544.09,1,0.07,3296.0,São Paulo,Cartão de Débito,Em Transporte,3
53,2025-01-03,Smartphones,iPhone,3129.96,2,0.12,5508.73,Fortaleza,Cartão de Crédito,Em Transporte,1
54,2025-06-06,Smartphones,Poco,2170.12,4,0.05,8246.46,São Paulo,PIX,Entregue,5
55,2025-04-07,Casa,Cafeteira,4568.96,5,0.19,18504.29,Curitiba,Boleto,Entregue,3
56,2025-08-07,Informática,Mouse,2499.51,2,0.26,3699.27,Belo Horizonte,Cartão de Débito,Entregue,1
57,2025-08-18,Smartphones,iPhone,5345.28,1,0.16,4490.04,Belo Horizonte,Cartão de Débito,Entregue,4
58,2025-02-15,Escritório,Mesa,643.12,2,0.25,964.68,Porto Alegre,PIX,Cancelado,3
59,2025-02-20,Informática,Mouse,5417.9,5,0.05,25735.02,Salvador,Cartão de Débito,Em Transporte,4
60,2025-08-08,Escritório,Webcam,2703.38,4,0.05,10272.84,São Paulo,PIX,Entregue,2
61,2025-05-26,Smartphones,Poco,2450.6,3,0.15,6249.03,Fortaleza,Cartão de Crédito,Entregue,5
62,2025-09-24,Informática,Notebook,7127.73,2,0.18,11689.48,São Paulo,Cartão de Débito,Cancelado,2
63,2025-07-11,Escritório,Webcam,284.13,4,0.09,1034.23,Curitiba,Boleto,Entregue,1
64,2025-08-04,Games,PS5,4708.12,3,0.15,12005.71,Rio de Janeiro,PIX,Devolvido,5
65,2025-12-14,Informática,Mouse,4611.85,5,0.29,16372.07,São Paulo,Cartão de Débito,Cancelado,2
66,2025-11-29,Escritório,Webcam,2715.22,4,0.28,7819.83,Curitiba,Boleto,Entregue,2
67,2025-12-31,Smartphones,Galaxy,5843.93,5,0.25,21914.74,Rio de Janeiro,Boleto,Cancelado,2
68,2025-10-13,Smartphones,iPhone,5499.43,2,0.12,9679.0,Belo Horizonte,Cartão de Crédito,Em Transporte,4
69,2025-11-23,Escritório,Impressora,3791.25,5,0.08,17439.75,Porto Alegre,Cartão de Crédito,Entregue,4
70,2025-12-23,Casa,Cafeteira,425.88,4,0.13,1482.06,São Paulo,Boleto,Entregue,1
71,2025-05-03,Informática,Notebook,5723.86,3,0.11,15282.71,Porto Alegre,Boleto,Entregue,1
72,2025-08-08,Smartphones,iPhone,5244.31,4,0.06,19718.61,Salvador,Boleto,Cancelado,2
73,2025-04-16,Games,Nintendo Switch,4377.92,3,0.2,10507.01,Salvador,PIX,Entregue,5
74,2025-02-02,Informática,SSD,3914.24,4,0.13,13621.56,Belo Horizonte,Cartão de Crédito,Entregue,3
75,2025-07-12,Casa,Air Fryer,979.87,5,0.02,4801.36,São Paulo,Cartão de Crédito,Entregue,1
76,2025-11-27,Games,Xbox Series,1560.67,4,0.26,4619.58,Porto Alegre,Cartão de Débito,Cancelado,1
77,2025-07-21,Casa,Liquidificador,796.65,5,0.09,3624.76,Fortaleza,Boleto,Entregue,1
78,2025-09-14,Games,Headset,1524.16,4,0.01,6035.67,Recife,PIX,Em Transporte,3
79,2025-04-26,Games,Nintendo Switch,1256.07,3,0.18,3089.93,Salvador,Cartão de Débito,Em Transporte,2
80,2025-03-25,Games,Xbox Series,5616.93,3,0.17,13986.16,Belo Horizonte,Cartão de Débito,Entregue,3
81,2025-05-31,Casa,Air Fryer,3732.77,4,0.27,10899.69,São Paulo,Cartão de Débito,Em Transporte,1
82,2025-03-08,Escritório,Mesa,3093.01,5,0.17,12835.99,Belo Horizonte,PIX,Entregue,4
83,2025-05-29,Escritório,Webcam,5432.78,2,0.08,9996.32,Rio de Janeiro,Cartão de Crédito,Cancelado,4
84,2025-12-22,Informática,SSD,3115.35,4,0.02,12212.17,Rio de Janeiro,Cartão de Crédito,Entregue,5
85,2025-03-21,Smartphones,iPhone,7719.01,4,0.24,23465.79,Rio de Janeiro,Cartão de Débito,Entregue,2
86,2025-06-08,Escritório,Cadeira,2408.79,1,0.18,1975.21,Belo Horizonte,Cartão de Débito,Entregue,2
87,2025-02-21,Games,Headset,5343.19,1,0.05,5076.03,Belo Horizonte,PIX,Entregue,1
88,2025-09-26,Smartphones,Redmi,3509.27,5,0.03,17019.96,Salvador,Cartão de Crédito,Entregue,4
89,2025-10-25,Smartphones,iPhone,5391.62,2,0.05,10244.08,Recife,Cartão de Débito,Cancelado,5
90,2025-10-19,Casa,Cafeteira,3493.98,2,0.22,5450.61,Rio de Janeiro,Cartão de Crédito,Entregue,4
91,2025-03-23,Escritório,Cadeira,7915.36,2,0.18,12981.19,Rio de Janeiro,Cartão de Crédito,Entregue,1
92,2025-11-18,Informática,Teclado,5043.79,4,0.21,15938.38,Fortaleza,Cartão de Crédito,Entregue,2
93,2025-05-18,Escritório,Webcam,7360.84,1,0.3,5152.59,Curitiba,Boleto,Entregue,2
94,2025-07-29,Escritório,Cadeira,7855.63,1,0.0,7855.63,Curitiba,Cartão de Débito,Entregue,4
95,2025-08-19,Games,Headset,622.71,1,0.16,523.08,Salvador,Cartão de Crédito,Entregue,2
96,2025-09-03,Casa,Air Fryer,6813.05,4,0.03,26434.63,Recife,Boleto,Em Transporte,2
